dt,code,algo_a,algo_b,abs_diff
2025-01-03 14:30:00,123204.SZ,142737791868.237,142737791868.23703,3.0517578125e-05
2025-01-03 14:30:00,113667.SH,98458680095.11,98458680095.10997,3.0517578125e-05
2025-01-03 14:30:00,113686.SH,100250062019.54001,100250062019.53998,3.0517578125e-05
2025-01-03 14:30:00,118046.SH,82643244665.26001,82643244665.26004,3.0517578125e-05
2025-01-03 14:30:00,118043.SH,39561507320.64,39561507320.63997,3.0517578125e-05
2025-01-03 14:30:00,128136.SZ,17131080883.884003,17131080883.884033,3.0517578125e-05
2025-01-03 14:30:00,113674.SH,10307885209.990002,10307885209.99003,2.86102294921875e-05
2025-01-03 14:30:00,113532.SH,12243633266.52,12243633266.52003,2.86102294921875e-05
2025-01-03 14:30:00,113627.SH,9556164489.759998,9556164489.760027,2.86102294921875e-05
2025-01-03 14:30:00,127092.SZ,33474783594.4,33474783594.40003,2.6702880859375e-05
2025-01-03 14:30:00,113064.SH,6756677131.89,6756677131.889974,2.6702880859375e-05
2025-01-03 14:30:00,113059.SH,15835361803.539999,15835361803.539972,2.6702880859375e-05
2025-01-03 14:30:00,113675.SH,24969076694.489998,24969076694.490025,2.6702880859375e-05
2025-01-03 14:30:00,110090.SH,32125493786.48,32125493786.480026,2.6702880859375e-05
2025-01-03 14:30:00,123209.SZ,16263333151.01,16263333151.009975,2.47955322265625e-05
2025-01-03 14:30:00,113653.SH,12822911735.470001,12822911735.469976,2.47955322265625e-05
2025-01-03 14:30:00,127083.SZ,12712990182.756,12712990182.756025,2.47955322265625e-05
2025-01-03 14:30:00,113691.SH,66483878393.22,66483878393.220024,2.288818359375e-05
2025-01-03 14:30:00,127015.SZ,21934147374.95,21934147374.949978,2.288818359375e-05
2025-01-03 14:30:00,118022.SH,16920602473.91,16920602473.910023,2.288818359375e-05
2025-01-03 14:30:00,113673.SH,11472938385.58,11472938385.579977,2.288818359375e-05
2025-01-03 14:30:00,110062.SH,17572929565.11,17572929565.110023,2.288818359375e-05
2025-01-03 14:30:00,118003.SH,30745721835.87,30745721835.87002,2.288818359375e-05
2025-01-03 14:30:00,127073.SZ,44042235894.909,44042235894.90902,2.288818359375e-05
2025-01-03 14:30:00,123218.SZ,10640479445.390001,10640479445.390024,2.288818359375e-05
2025-01-03 14:30:00,123214.SZ,21181596065.89,21181596065.890022,2.288818359375e-05
2025-01-03 14:30:00,127018.SZ,24877153939.934002,24877153939.93398,2.288818359375e-05
2025-01-03 14:30:00,113659.SH,38549567319.43,38549567319.43002,2.288818359375e-05
2025-01-03 14:30:00,127035.SZ,41121737804.937004,41121737804.93698,2.288818359375e-05
2025-01-03 14:30:00,123184.SZ,40141704520.647995,40141704520.64802,2.288818359375e-05
2025-01-03 14:30:00,113061.SH,40758571819.53,40758571819.53002,2.288818359375e-05
2025-01-03 14:30:00,113062.SH,32322509964.980003,32322509964.97998,2.288818359375e-05
2025-01-03 14:30:00,123121.SZ,17561570825.75,17561570825.749977,2.288818359375e-05
2025-01-03 14:30:00,123190.SZ,20916727970.64,20916727970.640022,2.288818359375e-05
2025-01-03 14:30:00,113625.SH,18504252306.699997,18504252306.699974,2.288818359375e-05
2025-01-03 14:30:00,113631.SH,23303658642.11,23303658642.109978,2.288818359375e-05
2025-01-03 14:30:00,123092.SZ,46789545651.5,46789545651.49998,2.288818359375e-05
2025-01-03 14:30:00,113053.SH,17047441353.66,17047441353.659979,2.09808349609375e-05
2025-01-03 14:30:00,127026.SZ,6727297391.25,6727297391.249979,2.09808349609375e-05
2025-01-03 14:30:00,110087.SH,15208560773.169998,15208560773.169977,2.09808349609375e-05
2025-01-03 14:30:00,113037.SH,12032311421.399998,12032311421.400019,2.09808349609375e-05
2025-01-03 14:30:00,127040.SZ,14567216485.279999,14567216485.28002,2.09808349609375e-05
2025-01-03 14:30:00,128105.SZ,13190116091.0,13190116091.00002,1.9073486328125e-05
2025-01-03 14:30:00,127101.SZ,33210648517.799995,33210648517.799976,1.9073486328125e-05
2025-01-03 14:30:00,128072.SZ,20199834660.258003,20199834660.257984,1.9073486328125e-05
2025-01-03 14:30:00,123025.SZ,23868023177.370003,23868023177.369984,1.9073486328125e-05
2025-01-03 14:30:00,127086.SZ,26355696580.408,26355696580.40802,1.9073486328125e-05
2025-01-03 14:30:00,113683.SH,11895271779.95,11895271779.95002,1.9073486328125e-05
2025-01-03 14:30:00,113681.SH,15838836807.599998,15838836807.59998,1.9073486328125e-05
2025-01-03 14:30:00,113054.SH,8131045134.780001,8131045134.780019,1.811981201171875e-05
2025-01-03 14:30:00,113668.SH,6777854719.42,6777854719.419982,1.811981201171875e-05
2025-01-03 14:30:00,128133.SZ,16060719530.52,16060719530.519983,1.71661376953125e-05
2025-01-03 14:30:00,113644.SH,6682320865.120001,6682320865.120018,1.71661376953125e-05
2025-01-03 14:30:00,127027.SZ,12490236052.33,12490236052.330017,1.71661376953125e-05
2025-01-03 14:30:00,123138.SZ,10913969614.34,10913969614.339983,1.71661376953125e-05
2025-01-03 14:30:00,128119.SZ,13117592326.462,13117592326.461983,1.71661376953125e-05
2025-01-03 14:30:00,118050.SH,16533387473.98,16533387473.980017,1.71661376953125e-05
2025-01-03 14:30:00,127019.SZ,15955043252.328001,15955043252.327984,1.71661376953125e-05
2025-01-03 14:30:00,111000.SH,3431216178.23,3431216178.229983,1.71661376953125e-05
2025-01-03 14:30:00,128135.SZ,6276337678.035999,6276337678.036016,1.71661376953125e-05
2025-01-03 14:30:00,123194.SZ,15793447913.942001,15793447913.941984,1.71661376953125e-05
