trade_date,code,score
2024-05-10,127042.SZ,-0.027151494990612757
2024-05-10,127043.SZ,-0.01943912677878471
2024-05-10,127045.SZ,0.1481792296755045
2024-05-10,127046.SZ,0.2520317676922705
2024-05-10,127047.SZ,-0.1207026300871637
2024-05-10,127049.SZ,-0.1554332970910806
2024-05-10,127050.SZ,0.18851000903585713
2024-05-10,127051.SZ,0.04571094897569062
2024-05-10,127052.SZ,0.3305005669314912
2024-05-10,127053.SZ,0.02399351588247752
2024-05-10,127055.SZ,0.40540481646712223
2024-05-10,127056.SZ,-0.06943622595955437
2024-05-10,127059.SZ,0.17449152564987735
2024-05-10,127060.SZ,0.18366621242642706
2024-05-10,127061.SZ,0.17948420776402949
2024-05-10,127062.SZ,-0.28120151997169107
2024-05-10,127064.SZ,-0.2794190789971116
2024-05-10,127066.SZ,0.3619053780520768
2024-05-10,127067.SZ,-0.007787874843361575
2024-05-10,127068.SZ,0.11096315707157466
2024-05-10,127069.SZ,-0.3666962832359288
2024-05-10,127070.SZ,-0.043754483166509095
2024-05-10,127072.SZ,-0.008389009281014083
2024-05-10,127073.SZ,-0.1388325585680707
2024-05-10,127074.SZ,0.433121406266908
2024-05-10,127075.SZ,2.6440764318589953
2024-05-10,127076.SZ,-0.017473870195549364
2024-05-10,127077.SZ,0.7613214377707799
2024-05-10,127078.SZ,0.11155873144206893
2024-05-10,127079.SZ,0.0938830628706483
2024-05-10,127080.SZ,0.22264763450207098
2024-05-10,127081.SZ,-0.9089126528604508
2024-05-10,127082.SZ,0.2529148367050354
2024-05-10,127083.SZ,0.07373649966123945
2024-05-10,127084.SZ,0.25922639911929063
2024-05-10,127085.SZ,-0.2399505270320113
2024-05-10,127086.SZ,0.12070388979809055
2024-05-10,127088.SZ,-0.2795415771386115
2024-05-10,127089.SZ,0.03947060228743837
2024-05-10,127090.SZ,-0.45754370794941673
2024-05-10,127091.SZ,0.047736694159556545
2024-05-10,127092.SZ,-0.19445983432303343
2024-05-10,127093.SZ,-0.28553492641927586
2024-05-10,127094.SZ,0.17494285043335722
2024-05-10,127095.SZ,-0.18709462410442992
2024-05-10,127096.SZ,-0.5377887201587759
2024-05-10,127097.SZ,-0.7444315756946683
2024-05-10,127098.SZ,-0.5679093527659341
2024-05-10,127099.SZ,0.1362401703700258
2024-05-10,127100.SZ,-0.14451938545530105
2024-05-10,127101.SZ,0.31433079200840613
2024-05-10,127102.SZ,-0.1674836065904377
2024-05-10,128039.SZ,-0.4016172280693566
2024-05-10,128041.SZ,-0.15097063598816118
2024-05-10,128042.SZ,-0.16883209704676277
2024-05-10,128044.SZ,-0.1735758880936675
2024-05-10,128048.SZ,-0.2610917074960306
2024-05-10,128049.SZ,0.15231333970597652
2024-05-10,128053.SZ,-0.46946154785953065
2024-05-10,128056.SZ,0.11250810456233998
2024-05-10,128063.SZ,-0.2575585339422433
2024-05-10,128066.SZ,-0.14562671027076707
2024-05-10,128070.SZ,0.223876784704448
2024-05-10,128072.SZ,0.0015761574253699631
2024-05-10,128074.SZ,-0.19493293680277968
2024-05-10,128076.SZ,-0.10257959893436581
2024-05-10,128081.SZ,-0.12362029339553052
2024-05-10,128082.SZ,0.16808657864505608
2024-05-10,128083.SZ,0.17511074800478532
2024-05-10,128087.SZ,-0.09471528968114007
2024-05-10,128090.SZ,0.2226864456134122
2024-05-10,128091.SZ,-0.140383120892779
